"game_id","match_id","game_nbr","score_w","score_l","w_team_id","l_team_id","vod_url","skill_lvl","det_user","maint_dtm","maint_app","create_dtm","create_app"
G33,M20,2,11,2,T31,T30,https://www.youtube.com/watch?v=1reuWeDWDHo,Pro,aspancake,2022-09-22 23:04:32.068 -0400,postgres,2022-09-22 23:04:32.068 -0400,postgres
G34,M21,1,15,9,T33,T32,nan,"4.5",aspancake,2022-09-25 17:44:31.826 -0400,postgres,2022-09-25 17:44:31.826 -0400,postgres
G35,M22,1,15,12,T35,T34,https://www.youtube.com/watch?v=6DStadSup8g,Pro,aspancake,2022-10-03 23:31:19.610 -0400,postgres,2022-10-03 23:31:19.610 -0400,postgres
G36,M23,2,11,6,T36,T37,https://www.youtube.com/watch?v=21UyjVvuBQs,"4.5",aspancake,2022-10-04 22:00:45.406 -0400,postgres,2022-10-04 22:00:45.406 -0400,postgres
G37,M23,1,11,4,T36,T37,https://www.youtube.com/watch?v=21UyjVvuBQs,"4.5",aspancake,2022-10-04 22:01:27.676 -0400,postgres,2022-10-04 22:01:27.676 -0400,postgres
G38,M24,2,12,10,T32,T38,https://www.youtube.com/watch?v=5D-7CvJC160,"5",aspancake,2022-10-16 15:22:34.949 -0400,postgres,2022-10-16 15:22:34.949 -0400,postgres
G39,M24,1,11,9,T38,T32,https://www.youtube.com/watch?v=5D-7CvJC160,"5.0",aspancake,2022-10-16 15:23:06.269 -0400,postgres,2022-10-16 15:23:06.269 -0400,postgres
G40,M24,3,11,9,T38,T32,https://www.youtube.com/watch?v=5D-7CvJC160,"5.0",aspancake,2022-10-16 15:23:54.376 -0400,postgres,2022-10-16 15:23:54.376 -0400,postgres
G41,M25,1,11,2,T39,T40,https://www.youtube.com/watch?v=cI3CyIzlV7A,"5.0",aspancak,2022-10-20 18:42:52.084 -0400,postgres,2022-10-20 18:42:52.084 -0400,postgres
G42,M25,3,13,11,T39,T40,https://www.youtube.com/watch?v=cI3CyIzlV7A,"5.0",aspancak,2022-10-20 18:51:38.509 -0400,postgres,2022-10-20 18:51:38.509 -0400,postgres
G43,M25,2,11,5,T40,T39,https://www.youtube.com/watch?v=cI3CyIzlV7A,"5.0",aspancak,2022-10-20 18:52:20.760 -0400,postgres,2022-10-20 18:52:20.760 -0400,postgres
