,pctile,Doubles,Singles,Doubles w/ Singles,Men Doubles,Women Doubles,Men Singles,Women Singles,Men Doubles w/ Singles,Women Doubles w/ Singles
79,0.79,3.961,4.126,4.381,4.092,3.739,4.142,4.044,4.339,4.52
80,0.8,3.977,4.142,4.439,4.116,3.756,4.153,4.044,4.381,4.52
81,0.81,3.993,4.153,4.456,4.142,3.758,4.246,4.092,4.385,4.52
82,0.8200000000000001,4.021,4.167,4.48,4.169,3.777,4.278,4.092,4.439,4.52
83,0.8300000000000001,4.047,4.246,4.52,4.18,3.791,4.321,4.092,4.456,4.537
84,0.84,4.065,4.276,4.537,4.201,3.827,4.377,4.126,4.565,4.537
85,0.85,4.096,4.278,4.604,4.223,3.851,4.393,4.126,4.647,4.537
86,0.86,4.124,4.333,4.623,4.246,3.859,4.397,4.126,4.691,4.604
87,0.87,4.164,4.377,4.647,4.277,3.902,4.434,4.126,4.704,4.604
88,0.88,4.188,4.397,4.691,4.308,3.916,4.473,4.167,4.704,4.604
89,0.89,4.222,4.434,4.715,4.339,3.94,4.496,4.167,4.715,4.604
90,0.9,4.27,4.473,4.731,4.381,3.967,4.525,4.167,4.731,4.604
91,0.91,4.323,4.525,4.763,4.439,3.981,4.532,4.167,4.763,4.623
92,0.92,4.35,4.532,4.882,4.46,4.024,4.541,4.236,4.982,4.623
93,0.93,4.439,4.541,4.982,4.537,4.08,4.545,4.236,4.997,4.623
94,0.9400000000000001,4.501,4.664,5.061,4.628,4.12,4.936,4.236,5.061,4.882
95,0.9500000000000001,4.565,4.884,5.071,4.655,4.218,4.95,4.333,5.148,4.882
96,0.96,4.637,4.95,5.148,4.75,4.471,4.989,4.333,5.194,4.882
97,0.97,4.731,4.989,5.194,4.822,4.52,5.004,4.333,5.199,4.882
98,0.98,4.836,5.004,5.446,4.997,4.596,5.118,4.333,5.446,4.882
99,0.99,5.138,5.374,5.892,5.199,4.82,5.374,4.664,5.892,5.071
100,1.0,5.902,6.027,5.902,5.902,5.208,6.027,4.664,5.902,5.071
