,match_id,game_id,rally_id,point_nbr,srv_team_id,rtrn_team_id,w_team_id,to_ind,to_team_id,ending_type
1063,14,23,1064,1,T20,T21,T20,N,,Unforced Error
1064,14,23,1065,2,T20,T21,T21,N,,Winner
1065,14,23,1066,3,T21,T20,T20,N,,Other
1066,14,23,1067,4,T21,T20,T20,N,,Unforced Error
1067,14,23,1068,5,T20,T21,T21,N,,Unforced Error
1068,14,23,1069,6,T20,T21,T21,N,,Winner
1069,14,23,1070,7,T21,T20,T21,N,,Unforced Error
1070,14,23,1071,8,T21,T20,T21,N,,Unforced Error
1071,14,23,1072,9,T21,T20,T21,N,,Unforced Error
1072,14,23,1073,10,T21,T20,T21,N,,Winner
1073,14,23,1074,11,T21,T20,T21,N,,Unforced Error
1074,14,23,1075,12,T21,T20,,Y,T20,
1075,14,23,1076,13,T21,T20,T21,N,,Unforced Error
1076,14,23,1077,14,T21,T20,T20,N,,Other
1077,14,23,1078,15,T21,T20,T20,N,,Other
1078,14,23,1079,16,T20,T21,T21,N,,Other
1079,14,23,1080,17,T20,T21,T20,N,,Unforced Error
1080,14,23,1081,18,T20,T21,T20,N,,Winner
1081,14,23,1082,19,T20,T21,T20,N,,Other
1082,14,23,1083,20,T20,T21,T21,N,,Other
1083,14,23,1084,21,T21,T20,T20,N,,Other
1084,14,23,1085,22,T21,T20,T21,N,,Other
1085,14,23,1086,23,T21,T20,T21,N,,Winner
1086,14,23,1087,24,T21,T20,T21,N,,Other
1087,14,23,1088,25,T21,T20,T20,N,,Unforced Error
1088,14,23,1089,26,T20,T21,T20,N,,Winner
1089,14,23,1090,27,T20,T21,T21,N,,Winner
1090,14,23,1091,28,T20,T21,T21,N,,Winner
1091,14,23,1092,29,T21,T20,T21,N,,Winner
1092,14,23,1093,30,T21,T20,T21,N,,Other
1093,14,23,1094,31,T21,T20,T20,N,,Other
1094,14,23,1095,32,T21,T20,T20,N,,Unforced Error
1095,14,23,1096,33,T20,T21,T21,N,,Winner
1096,14,23,1097,34,T20,T21,T20,N,,Unforced Error
1097,14,23,1098,35,T20,T21,T20,N,,Other
1098,14,23,1099,36,T20,T21,T20,N,,Other
1099,14,23,1100,37,T20,T21,T21,N,,Other
1100,14,23,1101,38,T21,T20,T21,N,,Other
1101,14,23,1102,39,T21,T20,T20,N,,Winner
1102,14,23,1103,40,T21,T20,T20,N,,Winner
1103,14,23,1104,41,T20,T21,T21,N,,Other
1104,14,23,1105,42,T20,T21,T21,N,,Other
1105,14,23,1106,43,T21,T20,T21,N,,Winner
1106,14,23,1107,44,T21,T20,T20,N,,Unforced Error
1107,14,23,1108,45,T21,T20,T21,N,,Winner
1108,14,23,1109,46,T21,T20,T20,N,,Other
1109,14,23,1110,47,T20,T21,T21,N,,Unforced Error
1110,14,23,1111,48,T20,T21,T20,N,,Other
1111,14,23,1112,49,T20,T21,T21,N,,Unforced Error
1112,14,23,1113,50,T21,T20,T21,N,,Unforced Error
1113,14,23,1114,51,T21,T20,T20,N,,Other
1114,14,23,1115,52,T21,T20,T20,N,,Unforced Error
1115,14,23,1116,53,T20,T21,T20,N,,Other
1116,14,23,1117,54,T20,T21,T21,N,,Winner
1117,14,23,1118,55,T20,T21,T20,N,,Other
1118,14,23,1119,56,T20,T21,T20,N,,Other
1119,14,23,1120,57,T20,T21,T21,N,,Unforced Error
1120,14,23,1121,58,T21,T20,T20,N,,Other
1121,14,23,1122,59,T21,T20,T20,N,,Unforced Error
1122,14,23,1123,60,T20,T21,T21,N,,Other
1123,14,23,1124,61,T20,T21,T21,N,,Unforced Error
1124,14,23,1125,62,T21,T20,T21,N,,Winner
1125,14,23,1126,63,T21,T20,T20,N,,Winner
1126,14,23,1127,64,T21,T20,T20,N,,Other
1127,14,23,1128,65,T20,T21,T21,N,,Other
1128,14,23,1129,66,T20,T21,T21,N,,Other
1129,14,23,1130,67,T21,T20,T21,N,,Unforced Error
1130,14,23,1131,68,T21,T20,,Y,T21,
1131,14,23,1132,69,T21,T20,T20,N,,Other
