game_id,skill_lvl,to_nbr,to_team,game_nbr,prewin,postwin,deltawin,prewinsrv,postwinsrv,deltawinsrv,prewinrcv,postwinrcv,deltawinrcv
690,Pro,1,T549,16,40.0,22.2,-17.8,50.0,0.0,-50.0,33.3,28.6,-4.7
234,Pro,1,T188,31,33.3,16.7,-16.6,9.1,,,47.4,16.7,-30.7
164,Pro,1,T116,23,36.4,20.0,-16.4,22.2,,,46.2,20.0,-26.2
567,4.5,1,T397,42,53.7,37.5,-16.2,52.2,33.3,-18.9,55.6,40.0,-15.6
211,5.0,1,T152,25,54.2,38.1,-16.1,46.2,33.3,-12.9,63.6,41.7,-21.9
656,Senior Pro,1,T222,18,29.4,14.3,-15.1,0.0,0.0,0.0,41.7,20.0,-21.7
462,Pro,1,T269,21,35.0,20.0,-15.0,25.0,,,41.7,20.0,-21.7
393,4.0,2,T337,52,48.1,33.3,-14.8,33.3,0.0,-33.3,66.7,50.0,-16.7
18,Pro,1,T14,21,50.0,35.3,-14.7,45.5,20.0,-25.5,55.6,41.7,-13.9
144,Pro,1,T65,20,36.8,22.2,-14.6,25.0,0.0,-25.0,45.5,28.6,-16.9
292,Pro,2,T250,40,38.9,25.0,-13.9,12.5,,,60.0,25.0,-35.0
58,Pro,1,T46,33,46.9,33.3,-13.6,37.5,0.0,-37.5,56.2,50.0,-6.2
650,5.0,1,T486,32,51.6,38.5,-13.1,47.1,50.0,2.9,57.1,33.3,-23.8
55,4.0,1,T45,39,50.0,37.5,-12.5,47.4,33.3,-14.1,52.6,40.0,-12.6
294,Pro,2,T250,29,50.0,37.5,-12.5,33.3,0.0,-33.3,63.6,75.0,11.4
246,Pro,1,T204,36,45.7,33.3,-12.4,41.2,0.0,-41.2,50.0,50.0,0.0
38,5.0,1,T38,30,55.2,42.9,-12.3,50.0,33.3,-16.7,61.5,50.0,-11.5
715,Pro,2,T570,27,45.5,33.3,-12.2,60.0,0.0,-60.0,33.3,50.0,16.7
140,Pro,1,T106,37,47.2,35.7,-11.5,27.8,20.0,-7.8,66.7,44.4,-22.3
56,Pro,1,T47,39,44.7,33.3,-11.4,35.3,0.0,-35.3,52.4,50.0,-2.4
29,5.0,1,T12,42,48.8,37.5,-11.3,38.1,0.0,-38.1,60.0,50.0,-10.0
11,Pro,1,T6,37,44.4,33.3,-11.1,31.2,0.0,-31.2,55.0,50.0,-5.0
237,Pro,1,T199,32,48.4,37.5,-10.9,40.0,33.3,-6.7,56.2,40.0,-16.2
100,Pro,1,T77,24,39.1,28.6,-10.5,40.0,0.0,-40.0,38.5,40.0,1.5
8,Pro,1,T4,36,51.4,41.2,-10.2,36.8,33.3,-3.5,68.8,45.5,-23.3
530,3.5,1,T422,22,52.4,42.3,-10.1,50.0,27.3,-22.7,55.6,53.3,-2.3
40,5.0,2,T38,36,60.0,50.0,-10.0,66.7,50.0,-16.7,50.0,,
40,5.0,1,T32,25,50.0,40.0,-10.0,53.8,50.0,-3.8,45.5,33.3,-12.2
24,Pro,1,T22,41,47.5,37.5,-10.0,31.6,33.3,1.7,61.9,40.0,-21.9
474,5.0,1,T384,19,44.4,35.3,-9.1,12.5,14.3,1.8,70.0,50.0,-20.0
530,3.5,2,T422,49,42.3,33.3,-9.0,27.3,33.3,6.0,53.3,33.3,-20.0
7,Pro,1,T5,34,48.5,40.0,-8.5,50.0,0.0,-50.0,47.1,66.7,19.6
566,4.5,1,T454,25,41.7,33.3,-8.4,18.2,33.3,15.1,61.5,33.3,-28.2
139,Pro,1,T106,16,33.3,25.0,-8.3,40.0,0.0,-40.0,30.0,33.3,3.3
73,4.0,2,T58,27,25.0,16.7,-8.3,0.0,0.0,0.0,33.3,25.0,-8.3
99,4.5,1,T40,22,57.1,48.8,-8.3,45.5,42.9,-2.6,70.0,55.0,-15.0
10,Pro,1,T4,26,36.0,28.6,-7.4,20.0,0.0,-20.0,46.7,40.0,-6.7
162,Pro,1,T116,36,45.7,38.5,-7.2,25.0,33.3,8.3,63.2,42.9,-20.3
115,Pro,1,T86,35,47.1,40.0,-7.1,50.0,0.0,-50.0,44.4,66.7,22.3
322,Pro,1,T280,24,43.5,37.5,-6.0,54.5,0.0,-54.5,33.3,50.0,16.7
27,5.0,1,T12,54,60.4,54.5,-5.9,41.9,33.3,-8.6,86.4,80.0,-6.4
312,5.0,1,T271,29,50.0,44.4,-5.6,40.0,42.9,2.9,61.5,45.5,-16.0
51,Pro,1,T5,22,42.9,37.5,-5.4,55.6,33.3,-22.3,33.3,40.0,6.7
3,Pro,1,T2,32,54.8,50.0,-4.8,52.9,66.7,13.8,57.1,33.3,-23.8
320,Pro,3,T132,30,33.3,28.6,-4.7,0.0,33.3,33.3,50.0,25.0,-25.0
327,Pro,1,T287,22,42.9,38.5,-4.4,44.4,33.3,-11.1,41.7,42.9,1.2
49,Pro,1,T42,13,41.7,37.5,-4.2,50.0,11.1,-38.9,33.3,53.3,20.0
321,Pro,2,T280,33,44.0,40.0,-4.0,41.7,33.3,-8.4,46.2,42.9,-3.3
37,4.5,1,T37,30,41.4,37.5,-3.9,30.8,0.0,-30.8,50.0,50.0,0.0
214,Pro,2,T7,34,50.0,46.2,-3.8,50.0,42.9,-7.1,50.0,50.0,0.0
240,Pro,1,T85,12,27.3,23.5,-3.8,25.0,0.0,-25.0,28.6,30.8,2.2
191,Pro,1,T142,6,40.0,36.4,-3.6,0.0,50.0,50.0,100.0,28.6,-71.4
175,Pro,1,T132,23,40.9,37.5,-3.4,30.0,0.0,-30.0,50.0,50.0,0.0
239,Pro,1,T194,36,48.6,45.5,-3.1,29.4,20.0,-9.4,66.7,66.7,0.0
87,Pro,1,T68,30,41.4,38.5,-2.9,23.1,20.0,-3.1,56.2,50.0,-6.2
134,Pro,1,T102,24,39.1,36.4,-2.7,33.3,0.0,-33.3,42.9,57.1,14.2
1,Pro,2,T2,37,35.7,33.3,-2.4,16.7,0.0,-16.7,50.0,50.0,0.0
470,Pro,1,T132,28,48.1,45.8,-2.3,16.7,41.7,25.0,73.3,50.0,-23.3
218,5.0,1,T165,45,52.3,50.0,-2.3,45.8,,,60.0,50.0,-10.0
176,Pro,1,T132,18,35.3,33.3,-2.0,33.3,20.0,-13.3,36.4,42.9,6.5
195,Pro,1,T69,42,46.3,44.4,-1.9,30.0,33.3,3.3,61.9,50.0,-11.9
133,Pro,2,T101,27,56.2,54.5,-1.7,50.0,60.0,10.0,62.5,50.0,-12.5
740,5.0,1,T590,44,48.8,47.6,-1.2,47.6,40.0,-7.6,50.0,54.5,4.5
147,Pro,1,T108,12,45.5,44.4,-1.1,40.0,50.0,10.0,50.0,40.0,-10.0
596,4.0,2,T466,42,45.5,44.4,-1.1,30.0,33.3,3.3,58.3,53.3,-5.0
260,Pro,1,T220,32,45.2,44.4,-0.8,35.7,25.0,-10.7,52.9,60.0,7.1
318,Pro,2,T279,30,46.2,45.5,-0.7,42.9,50.0,7.1,50.0,42.9,-7.1
