team_id,team_nm,GP,gameWpct,TO,TOperGame,TOboost_adj,TOboost,TOboost_srv,TOboost_ret,toscore,toscore_adj
T278,Lea Jansen & Federico Staksrud,3,33.3,2,0.7,23.9,22.2,25.0,33.6,43,45
T154,Rafa Hewitt & Dylan Frazier,3,66.7,2,0.7,18.2,18.6,12.4,22.8,41,41
T68,Jorja Johnson & JW Johnson,3,66.7,2,0.7,14.8,13.4,28.4,-6.6,37,39
T2,Anna Leigh Waters & Leigh Waters,13,69.2,9,0.7,9.1,9.6,12.1,6.6,58,56
T204,Stefan Auvergne & Shelby Bates,3,66.7,2,0.7,4.8,5.0,-4.6,10.0,32,32
T42,Bill Kacergis & Arpit Dhir,3,33.3,2,0.7,1.4,1.5,-10.7,13.6,29,30
T350,James Ignatowich & Tyson McGuffin,3,0.0,2,0.7,-1.2,-2.2,-8.4,5.0,27,28
T132,Anna Bright & James Ignatowich,11,36.4,7,0.6,8.7,7.7,10.1,8.0,47,49
T9,Jesse Irvine & Anna Bright,2,100.0,1,0.5,61.2,60.0,100.0,20.0,49,49
T17,Ben Johns & Tyler Loong,2,50.0,1,0.5,56.5,50.0,57.9,0.0,45,48
T186,William Sobek & Ryler DeHeart,2,100.0,1,0.5,29.5,28.6,26.2,35.7,38,39
T217,Greg Dow & Rob Nunnery,2,50.0,1,0.5,22.1,20.9,42.5,3.3,35,36
T214,Martina Frantova & Hurricane Tyra Black,2,50.0,1,0.5,17.1,16.7,4.3,30.0,34,35
T7,Thomas Wilson & AJ Koller,8,50.0,4,0.5,14.6,13.6,12.4,19.1,47,49
T85,Stefan Auvergne & Sam Querrey,4,75.0,2,0.5,10.9,11.4,-17.3,32.4,36,36
T1,Jesse Irvine & Catherine Parenteau,6,16.7,3,0.5,1.6,3.8,1.1,6.0,32,31
T67,Anna Leigh Waters & Ben Johns,13,61.5,6,0.5,2.0,2.0,3.3,6.4,32,33
T102,Catherine Parenteau & Jorja Johnson,2,0.0,1,0.5,-3.0,-2.7,-33.3,14.2,27,28
T194,Bobbi Oshiro & Rachel Rettger,2,0.0,1,0.5,-3.5,-3.1,-9.4,0.0,27,28
T104,Josh Jenkins & Bill Kacergis,6,33.3,3,0.5,-29.6,-27.9,-17.0,-42.4,0,0
T133,Anna Leigh Waters & Jack Sock,7,71.4,3,0.4,37.8,37.8,55.8,24.1,67,67
T71,Anna Leigh Waters & Anna Bright,20,90.0,9,0.4,23.5,23.1,16.5,36.0,100,100
T65,Anna Leigh Waters & Catherine Parenteau,23,91.3,10,0.4,14.3,14.8,9.6,24.6,79,77
T198,Vivian Glozman & Christian Alshon,3,66.7,1,0.3,18.0,16.0,7.0,30.6,34,35
T73,Zane Navratil & Matt Wright,3,0.0,1,0.3,16.2,14.8,-8.3,38.1,33,34
T245,Allyce Jones & Callie Smith,11,45.5,3,0.3,11.2,9.8,19.5,8.7,38,40
T23,Ross Whittaker & Grant Johnston,3,33.3,1,0.3,3.4,4.1,-5.0,8.3,30,30
T201,Judit Castillo Gargallo & Sam Querrey,3,33.3,1,0.3,-0.1,0.8,13.3,-6.7,28,29
T22,Jimbo Peterson & David McNally,3,66.7,1,0.3,-11.2,-10.0,1.7,-21.9,25,25
T47,Steve Deakin & Matt Wright,3,66.7,1,0.3,-12.8,-11.4,-35.3,-2.4,24,25
T145,Pablo Tellez & Federico Staksrud,9,33.3,2,0.2,6.2,6.2,9.7,3.8,32,33
T5,Matt Wright & Riley Newman,22,40.9,4,0.2,5.9,5.2,-6.8,11.8,35,37
T269,Dylan Godwin & James Broker,6,50.0,1,0.2,-19.9,-15.0,0.0,-21.7,23,22
T13,Collin Johns & Ben Johns,33,78.8,2,0.1,28.9,26.1,10.8,37.2,46,48
T10,Greg Dow & Anderson Scarpa,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T19,Lauren Stratman & Irina Tereschenko,1,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T26,Chris Mills Miller & John Sperling,2,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T30,Monica Paolicelli & Alix Truong,2,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T31,Vivienne David & Lauren Stratman,2,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T43,Chuck Taylor & AJ Koller,3,66.7,0,0.0,0.0,0.0,0.0,0.0,28,29
T70,Rafa Hewett & Zane Navratil,2,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T74,Thomas Wilson & Julian Arnold,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T76,Catherine Parenteau & James Ignatowich,4,75.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T83,Stefan Auvergne & AJ Koller,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T87,Rob Cassidy & Spencer Smith,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T88,Pablo Tellez & Christian Alshon,6,83.3,0,0.0,0.0,0.0,0.0,0.0,28,29
T117,Christian Keenum & Moo Venkatasen,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T118,Johnny Goldberg & Erik Forsythe,2,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T120,Dylan Frazier & Federico Staksrud,1,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T147,Dylan Frazier & JW Johnson,14,64.3,0,0.0,0.0,0.0,0.0,0.0,28,29
T148,Vivienne David & Jorja Johnson,5,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T162,Jhonnatan Medina Alvarez & Pierina Imparato,1,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T187,Mary Brascia & Erik Lange,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T195,Callan Dawson & Todd Fought,2,50.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T205,Bobbi Oshiro & Callan Dawson,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T207,Ryler DeHeart & Emily Ackerman,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T209,Milan Rane & Phillip Locklear,1,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T212,Martina Frantova & Rob Nunnery,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T224,Christa Gecheva & Daniel De La Rosa,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T225,Christa Gecheva & Jill Braverman,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T253,Rianna Valdes & Erik Pailet,2,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T254,Lindsey Newman & Riley Newman,2,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T257,Vicky Strandlund & Angie Walker,1,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T263,Steve Deakin & Travis Rettenmaier,1,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T274,Mark Cleminson & Christina Chin,1,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T275,Kim Brent & Steve Deakin,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T276,Steve Deakin & Pat Smith,1,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T277,Brandon French & Chuck Taylor,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T310,Steve Deakin & Spencer Smith,1,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T351,Matt Wright & Ben Johns,2,50.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T352,Vivienne David & Andrea Koop,1,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T353,Allyce Jones & Riley Newman,2,50.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T357,Wesley Gabrielsen & Erik Lange,1,100.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T363,Christian Keenum & Tyler Tolson,3,66.7,0,0.0,0.0,0.0,0.0,0.0,28,29
T366,Parris Todd & Anna Bright,2,50.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T370,Hayden Patriquin & Tyson McGuffin,2,0.0,0,0.0,0.0,0.0,0.0,0.0,28,29
T371,Riley Newman & Parris Todd,2,50.0,0,0.0,0.0,0.0,0.0,0.0,28,29
