team_id,team_nm,GP,gameWpct,TO,TOperGame,TOboost_adj,TOboost,TOboost_srv,TOboost_ret
T18,Collin Johns & AJ Koller,2,50.0,2,1.0,43.0,38.6,35.9,44.4
T158,Rachel Barrack & Ryan Kane,2,100.0,2,1.0,31.2,30.9,40.2,23.6
T185,Rob Nunnery & Austin Gridley,2,0.0,2,1.0,32.4,29.0,22.2,37.2
T157,Madi Turosinski & Hector Irizarry Nazario,2,0.0,2,1.0,18.8,18.6,23.3,15.6
T374,Sarah Boruta & Youssef Bouzidi,2,100.0,2,1.0,15.8,17.1,25.6,17.8
T82,Marc Loutzenhiser & Kevin Faber,2,50.0,2,1.0,13.3,13.6,-4.2,20.7
T111,Cammy MacGregor & Jennifer Dawson,2,100.0,2,1.0,12.8,11.1,15.4,-50.0
T58,Jake Kearney & Ryan Bernstein,2,0.0,2,1.0,-18.6,-17.5,0.0,-17.8
T6,Wyatt Stone & Hayden Patriquin,2,0.0,2,1.0,-32.2,-28.6,-31.2,-31.0
T663,Karaline Kelbaugh & Alyssa Bialek,3,66.7,2,0.7,37.2,36.4,44.3,31.6
T256,Avner Onishchenko & Jamon Onishchenko,3,100.0,2,0.7,36.4,33.2,42.5,36.8
T193,Judit Castillo Gargallo & Shelby Bates,3,66.7,2,0.7,30.6,29.2,30.0,28.8
T278,Lea Jansen & Federico Staksrud,3,33.3,2,0.7,23.9,22.2,25.0,33.6
T154,Rafa Hewitt & Dylan Frazier,3,66.7,2,0.7,18.2,18.6,12.4,22.8
T60,Ryan Kane & David McNally,3,66.7,2,0.7,16.1,17.8,48.9,-15.4
T68,Jorja Johnson & JW Johnson,3,66.7,2,0.7,14.8,13.4,28.4,-6.6
T664,Allison Klink & Kiersten Pappas,3,33.3,2,0.7,10.2,9.5,4.1,15.6
T204,Stefan Auvergne & Shelby Bates,3,66.7,2,0.7,4.8,5.0,-4.6,10.0
T42,Bill Kacergis & Arpit Dhir,3,33.3,2,0.7,1.4,1.5,-10.7,13.6
T350,James Ignatowich & Tyson McGuffin,3,0.0,2,0.7,-1.2,-2.2,-8.4,5.0
T644,Randy Parker & Brian Noble,3,0.0,2,0.7,-7.1,-7.1,17.2,-25.7
T12,Monica Linn & Bill Kacergis,3,33.3,2,0.7,-10.4,-8.6,-23.4,-8.2
T78,Mike Hamberg & Ethan Dysert,4,50.0,2,0.5,28.2,27.3,22.2,24.2
T373,Robert Laidlaw & Kiersten Pappas,4,50.0,2,0.5,11.4,11.5,1.2,14.0
T85,Stefan Auvergne & Sam Querrey,4,75.0,2,0.5,10.9,11.4,-17.3,32.4
T222,Michael Tow & Randy Parker,4,0.0,2,0.5,-7.0,-7.3,-3.4,-6.6
T126,Waymon Peet & Justin Lui,7,71.4,2,0.3,38.3,35.4,50.0,35.0
T338,Mark Selig & Zachary Lessner,6,33.3,2,0.3,12.8,12.6,-11.0,27.8
T337,Nick Schulkin & Joe Feldman,6,66.7,2,0.3,-23.3,-20.6,-26.4,-33.4
T145,Pablo Tellez & Federico Staksrud,9,33.3,2,0.2,6.2,6.2,9.7,3.8
T13,Collin Johns & Ben Johns,36,72.2,2,0.1,28.9,26.1,10.8,37.2
T262,Haddow Thul & Joel Pelletier,1,100.0,1,1.0,69.4,66.7,75.0,60.0
T419,Lauralei Singsank & David Bieger,1,100.0,1,1.0,47.9,50.0,50.0,50.0
T11,Chrissy Penfold & Eli Powell,1,100.0,1,1.0,55.5,49.2,61.3,0.0
T414,Benson Parry & Logan Rosenbach,1,0.0,1,1.0,43.6,38.8,47.1,43.3
T16,Anna Bright & Jorja Johnson,1,100.0,1,1.0,36.7,36.7,46.7,26.7
T507,Karoline Kelbaugh & Johnny Shapiro,1,0.0,1,1.0,36.8,34.6,42.9,34.2
T474,Rafa Hewett & Dylan Frazier,1,100.0,1,1.0,33.3,33.3,33.3,33.3
T80,Derek Kraje & Tim Cass,1,100.0,1,1.0,36.8,32.8,43.0,39.3
T75,Collin Johns & Travis Rettenmaier,1,100.0,1,1.0,36.1,32.1,33.4,50.0
T180,Ben Hale & Spencer Wood,1,100.0,1,1.0,35.6,31.7,37.1,8.8
T640,Rachel Rohrabacher & James Ignatowich,1,100.0,1,1.0,34.5,31.0,30.0,38.1
T35,Jay Devilliers & Patrick Smith,1,100.0,1,1.0,28.5,30.0,61.5,4.2
T173,Gage Tutko & James Broker,1,0.0,1,1.0,33.1,29.5,51.3,-6.7
T463,Zachary Lessner & Brian Green,1,0.0,1,1.0,28.3,25.9,33.3,32.8
T81,Austin Latak & Rumi Vaikuntan,1,0.0,1,1.0,27.4,24.4,25.0,35.0
T418,Averee Beck & Logan Rosenbach,1,0.0,1,1.0,26.4,23.5,-20.0,41.3
T20,Irina Tereschenko & Catherine Parenteau,1,0.0,1,1.0,23.4,21.8,15.7,28.5
T203,Phillip Locklear & Hunter Johnson,1,0.0,1,1.0,19.9,18.2,32.1,7.2
T119,Hayden Patriquin & James Ignatowich,1,100.0,1,1.0,19.0,18.1,7.1,32.9
T161,Jib Chattrabhuti & Alex Guy,1,100.0,1,1.0,19.4,17.9,-2.1,50.0
T621,Dekel Bar & James Ignatowich,1,100.0,1,1.0,18.9,17.6,7.1,33.3
T264,Dylan Ciampini & Kami Bliss,1,0.0,1,1.0,17.0,16.9,75.0,-15.8
T620,Augustus Ge & JW Johnson,1,0.0,1,1.0,15.2,14.3,-16.7,50.0
T684,Judit Castillo Gargallo & Anderson Scarpa,1,0.0,1,1.0,12.9,12.6,10.0,15.0
T284,Madeline Eden & Said Elasha,1,0.0,1,1.0,13.0,12.1,12.5,13.9
T208,Ryler DeHeart & Connor Garnett,1,0.0,1,1.0,12.8,11.9,20.7,7.1
T311,Manny Lai & Alexander Szczepkowski,1,100.0,1,1.0,10.6,10.8,-1.2,22.7
T294,Heather Murphy & Kathleen Whilesmith,1,0.0,1,1.0,15.0,10.6,35.9,-45.0
T465,Jessica Starr & Abdullah Altayeh,1,100.0,1,1.0,11.3,10.1,4.2,20.0
T446,Nathan Poteet & Alex Spancake,1,0.0,1,1.0,10.3,10.1,8.2,12.1
T84,Sean Proakis & Nathan Rininger,1,100.0,1,1.0,11.2,10.0,18.6,-1.9
T200,Patrick Smith & Scott Doerner,1,0.0,1,1.0,10.3,9.2,3.2,21.7
T181,Brian McCulloch & Josh Golob,1,0.0,1,1.0,9.3,8.3,-16.7,16.6
T258,Leigh Bradwell & Jordann Vigna,1,100.0,1,1.0,6.5,8.0,-3.8,16.7
T639,Lyn Yuen C & Bruno Rosa,1,100.0,1,1.0,5.2,6.7,20.0,0.0
T293,Alexander Aldighieri & Alex Wen,1,0.0,1,1.0,6.6,5.9,-30.0,33.8
T420,Dylan Ciampini & Benson Parry,1,0.0,1,1.0,3.0,4.5,10.0,0.0
T223,Ben Newell & Jill Braverman,1,0.0,1,1.0,4.8,4.3,-6.2,17.1
T430,Nick Schulkin & Ben Flick,1,0.0,1,1.0,6.2,3.3,0.0,13.3
T202,Rachel Rettger & Todd Fought,1,0.0,1,1.0,2.5,2.2,9.2,-2.9
T28,Chandra Soucek & Katherine Gillis,1,100.0,1,1.0,1.1,2.2,2.5,-3.3
T300,Suzanne Chuparkoff & Alexander Aldighieri,1,0.0,1,1.0,1.7,1.5,55.6,-30.0
T265,Lauren Brown & Averee Beck,1,100.0,1,1.0,-1.3,1.1,3.6,15.0
T197,David McNally & Alex Spancake,1,0.0,1,1.0,-0.4,-0.1,-16.7,14.2
T296,Kathleen Whilesmith & Cody Miller,1,0.0,1,1.0,0.6,-0.5,0.0,4.4
T220,Ben Newell & Daniel De La Rosa,1,0.0,1,1.0,-0.9,-0.8,-10.7,7.1
T466,Sue Knuth & Judah Masbruch,1,0.0,1,1.0,-1.2,-1.1,3.3,-5.0
T590,Marianne Lee & John Fiorello,1,0.0,1,1.0,-1.4,-1.2,-7.6,4.5
T165,Sarah Boruta & Derek Kraje,1,100.0,1,1.0,-9.0,-2.3,0.0,-10.0
T631,Ethan Dysert & Lauren Dempsey,1,0.0,1,1.0,-3.2,-4.2,19.0,-15.3
T689,Genie Erokhina & Todd Fought,1,0.0,1,1.0,-6.7,-6.0,34.9,-40.2
T632,Nicole W & Hunter Bassett,1,0.0,1,1.0,-11.6,-6.2,0.0,2.8
T199,Scott Doerner & Tina Pisnik,1,0.0,1,1.0,-12.2,-10.9,-6.7,-16.2
T45,Maya Ben-David & Maddy Saunders,1,0.0,1,1.0,-14.0,-12.5,-14.1,-12.6
T14,Callan Dawson & Spencer Smith,1,0.0,1,1.0,-17.9,-14.7,-25.5,-13.9
T188,Ryler DeHeart & Sarah Ansboury,1,0.0,1,1.0,-21.1,-16.6,0.0,-30.7
T549,Collin Johns & Matt Wright,1,0.0,1,1.0,-20.0,-17.8,-50.0,-4.7
T629,Barry Watkiss & Kim Strappello,1,0.0,1,1.0,-22.4,-18.8,-20.0,-24.4
T266,Jared Brungard & Benson Parry,1,0.0,1,1.0,-25.3,-22.2,-38.9,-22.3
T327,Keith Brilz & Ian Chang,1,0.0,1,1.0,-29.3,-28.3,-39.3,-23.4
T166,Allison Klink & Alex Spancake,1,0.0,1,1.0,-42.3,-30.0,0.0,0.0
T213,Greg Dow & Hurricane Tyra Black,1,0.0,1,1.0,-38.4,-33.3,0.0,-42.9
T455,Seth Weinstein & Daniel Kernan,1,0.0,1,1.0,-45.2,-37.5,0.0,-66.7
T627,Casey W & Jake Miller,1,0.0,1,1.0,-46.9,-41.5,0.0,-47.8
T349,AJ Koller & Riley Newman,1,0.0,1,1.0,-48.9,-43.2,0.0,-55.0
T272,Leah Peterson & Lior Schinagel,1,0.0,1,1.0,-52.2,-46.3,0.0,-64.3
T21,Jesse Irvine & Lucy Kovalova,1,100.0,1,1.0,-44.8,-50.9,-42.9,0.0
T9,Jesse Irvine & Anna Bright,2,100.0,1,0.5,61.2,60.0,100.0,20.0
T17,Ben Johns & Tyler Loong,2,50.0,1,0.5,56.5,50.0,57.9,0.0
T97,Jake Miller & Mike Hamberg,2,0.0,1,0.5,38.1,33.9,53.8,25.7
T428,Jonathan Cameron & Zachary Lessner,2,100.0,1,0.5,33.9,30.2,27.1,46.7
T186,William Sobek & Ryler DeHeart,2,100.0,1,0.5,29.5,28.6,26.2,35.7
T662,Donald Young & Quang Duong,2,100.0,1,0.5,26.5,24.7,33.4,20.0
T489,Carlo Ares & Mike Fotopoulos,2,100.0,1,0.5,26.1,23.2,30.0,13.8
T57,Jacky Lau & Daniel Litrownik,2,100.0,1,0.5,25.4,22.6,12.2,50.0
T217,Greg Dow & Rob Nunnery,2,50.0,1,0.5,22.1,20.9,42.5,3.3
T122,Abby Brandenberger & Matt Brandenberger,2,50.0,1,0.5,17.6,17.9,16.7,18.2
T214,Martina Frantova & Hurricane Tyra Black,2,50.0,1,0.5,17.1,16.7,4.3,30.0
T665,Kelly Dakin & Randy Parker,2,100.0,1,0.5,14.2,13.6,29.9,-3.2
T436,Todd Helbling & Cole Tecce,2,0.0,1,0.5,6.7,1.7,30.0,-35.7
T100,Joe Zamoyta & Mike B,2,0.0,1,0.5,0.7,1.4,13.3,-4.7
T341,Yash Goyal & Morgan Ames,2,0.0,1,0.5,0.4,0.7,-8.0,7.9
T392,Monica Linn & Eli Powell,2,0.0,1,0.5,-2.1,-0.4,25.0,-16.7
T102,Catherine Parenteau & Jorja Johnson,2,0.0,1,0.5,-3.0,-2.7,-33.3,14.2
T194,Bobbi Oshiro & Rachel Rettger,2,0.0,1,0.5,-3.5,-3.1,-9.4,0.0
T37,Ross Weinberg & Guarav Sethi,2,0.0,1,0.5,-6.3,-3.9,-30.8,0.0
T637,Alex Spancake & David Richardson,2,0.0,1,0.5,-5.1,-4.5,-28.6,6.5
T271,Ben Campbell & Yahia Imam,2,50.0,1,0.5,-7.4,-5.6,2.9,-16.0
T666,Pam Lippy & Mark Redding,2,0.0,1,0.5,-40.4,-35.3,0.0,-30.0
T355,Christie Barker & Kiersten Pappas,2,0.0,1,0.5,-48.6,-43.3,0.0,-47.1
T48,Monica Linn & Christian Keenum,3,66.7,1,0.3,55.3,49.0,64.0,0.0
T238,Sebastian Charmot & Dylan Godwin,3,66.7,1,0.3,37.4,33.3,50.0,0.0
T470,Ryan Kane & Arpit Dhir,3,66.7,1,0.3,31.2,28.9,22.9,39.2
T610,Allyce Jones & Rachel Rohrabacher,3,0.0,1,0.3,18.0,16.5,36.4,11.1
T198,Vivian Glozman & Christian Alshon,3,66.7,1,0.3,18.0,16.0,7.0,30.6
T461,Gaurav Sethi & Petr Minar,3,33.3,1,0.3,16.4,15.6,8.3,21.4
T73,Zane Navratil & Matt Wright,3,0.0,1,0.3,16.2,14.8,-8.3,38.1
T59,Payton Noyes & Matt Ferris,3,33.3,1,0.3,7.0,11.1,0.0,16.6
T155,Maddy Saunders & Roman Estareja,3,33.3,1,0.3,6.7,6.0,21.2,-9.6
T23,Ross Whittaker & Grant Johnston,3,33.3,1,0.3,3.4,4.1,-5.0,8.3
T494,Alec Allmon & Alex Spancake,3,66.7,1,0.3,2.9,3.1,3.4,2.5
T613,Kate Fahey & Anna Bright,3,100.0,1,0.3,0.7,2.2,-8.3,3.1
T201,Judit Castillo Gargallo & Sam Querrey,3,33.3,1,0.3,0.0,0.8,13.3,-6.7
T22,Jimbo Peterson & David McNally,3,66.7,1,0.3,-11.2,-10.0,1.7,-21.9
T47,Steve Deakin & Matt Wright,3,66.7,1,0.3,-12.8,-11.4,-35.3,-2.4
T608,Tina Pisnik & Etta Wright,3,33.3,1,0.3,-18.7,-17.9,-42.9,0.0
T112,Maddy Saunders & Troy Ramos,3,33.3,1,0.3,-25.3,-21.2,-34.8,-32.5
T41,David McNally & Daniel McNally,5,80.0,1,0.2,24.0,23.5,25.5,21.7
T61,Ryan Kane & Alex Spancake,4,75.0,1,0.2,1.7,1.9,-3.7,6.7
T486,Matt Watson & Justin Lui,5,60.0,1,0.2,-16.1,-13.1,2.9,-23.8
T269,Dylan Godwin & James Broker,6,50.0,1,0.2,-19.9,-15.0,0.0,-21.7
T237,Alex Spancake & Petr Minar,4,50.0,1,0.2,-22.0,-19.3,-47.6,-8.8
T56,Dylan Godwin & Ish Dafeesh,6,33.3,1,0.2,-24.7,-25.0,-43.5,-6.0
T290,Tyler Martin & Javier Rios,6,16.7,1,0.2,-26.2,-25.2,-45.0,-13.2
T10,Greg Dow & Anderson Scarpa,1,100.0,0,0.0,0.0,0.0,0.0,0.0
T19,Lauren Stratman & Irina Tereschenko,1,0.0,0,0.0,0.0,0.0,0.0,0.0
T24,David McNally & Harsh Pareek,1,0.0,0,0.0,0.0,0.0,0.0,0.0
T26,Chris Mills Miller & John Sperling,2,100.0,0,0.0,0.0,0.0,0.0,0.0
T27,Jimbo Peterson & Joel Phillips,1,100.0,0,0.0,0.0,0.0,0.0,0.0
T29,Sara Maher & Emer Daly,1,0.0,0,0.0,0.0,0.0,0.0,0.0
T30,Monica Paolicelli & Alix Truong,2,0.0,0,0.0,0.0,0.0,0.0,0.0
T31,Vivienne David & Lauren Stratman,2,100.0,0,0.0,0.0,0.0,0.0,0.0
T33,Mark Cunningham & Carter Wittendorf,1,100.0,0,0.0,0.0,0.0,0.0,0.0
T36,David McNally & Max Sinthorntham,2,100.0,0,0.0,0.0,0.0,0.0,0.0
T39,Gizmo Hall & David McNally,3,66.7,0,0.0,0.0,0.0,0.0,0.0
T43,Chuck Taylor & AJ Koller,3,66.7,0,0.0,0.0,0.0,0.0,0.0
T44,Lauralei Singsank & Arti Kashipathi,1,100.0,0,0.0,0.0,0.0,0.0,0.0
T49,Vivianne Pham & Ben Johns,3,33.3,0,0.0,0.0,0.0,0.0,0.0
T50,Dylan Godwin & Ryan Kane,7,57.1,0,0.0,0.0,0.0,0.0,0.0
T51,Alex Spancake & Pickles Smith,3,33.3,0,0.0,0.0,0.0,0.0,0.0
T52,Jeff Volmer & Jimmy Brown,2,0.0,0,0.0,0.0,0.0,0.0,0.0
T53,Alec Allmon & Dylan Godwin,2,100.0,0,0.0,0.0,0.0,0.0,0.0
T54,Alec Allmon & Jon Smet,1,0.0,0,0.0,0.0,0.0,0.0,0.0
T55,Zach Gladstone & Alex Spancake,4,75.0,0,0.0,0.0,0.0,0.0,0.0
T62,Mike Hamberg & Andy King,1,100.0,0,0.0,0.0,0.0,0.0,0.0
T63,Ethan Dysert & Nate Steele,1,0.0,0,0.0,0.0,0.0,0.0,0.0
T64,Alec Allmon & Ryan Kane,3,66.7,0,0.0,0.0,0.0,0.0,0.0
T70,Rafa Hewett & Zane Navratil,2,0.0,0,0.0,0.0,0.0,0.0,0.0
T74,Thomas Wilson & Julian Arnold,1,100.0,0,0.0,0.0,0.0,0.0,0.0
T76,Catherine Parenteau & James Ignatowich,4,75.0,0,0.0,0.0,0.0,0.0,0.0
T79,Justin Hellinger & Joseph Roeder,1,0.0,0,0.0,0.0,0.0,0.0,0.0
T83,Stefan Auvergne & AJ Koller,1,100.0,0,0.0,0.0,0.0,0.0,0.0
T87,Rob Cassidy & Spencer Smith,1,100.0,0,0.0,0.0,0.0,0.0,0.0
T88,Pablo Tellez & Christian Alshon,6,83.3,0,0.0,0.0,0.0,0.0,0.0
T91,Michael Temp & David Temp,2,0.0,0,0.0,0.0,0.0,0.0,0.0
T92,Jeremy Puckett & Evan Temp,2,100.0,0,0.0,0.0,0.0,0.0,0.0
T93,Conner McNicholas & John Funkey,1,100.0,0,0.0,0.0,0.0,0.0,0.0
T94,Cam Doe & Nathan Fort,1,0.0,0,0.0,0.0,0.0,0.0,0.0
T98,Ethan Dysert & John Paway,2,100.0,0,0.0,0.0,0.0,0.0,0.0
T99,Alex Spancake & Ish Dafeesh,2,100.0,0,0.0,0.0,0.0,0.0,0.0
T110,Mary Helen Atkins & Sarah Mitten,2,0.0,0,0.0,0.0,0.0,0.0,0.0
T113,Malia Lum & Danny Lum,3,66.7,0,0.0,0.0,0.0,0.0,0.0
T114,Paul Kind & Peter Cote,3,66.7,0,0.0,0.0,0.0,0.0,0.0
T115,Michael Burl & Chiron Burl,1,100.0,0,0.0,0.0,0.0,0.0,0.0
T117,Christian Keenum & Moo Venkatasen,1,100.0,0,0.0,0.0,0.0,0.0,0.0
T118,Johnny Goldberg & Erik Forsythe,2,100.0,0,0.0,0.0,0.0,0.0,0.0
T120,Dylan Frazier & Federico Staksrud,1,0.0,0,0.0,0.0,0.0,0.0,0.0
T121,Hannah Carpenter & Riley Hardin,1,0.0,0,0.0,0.0,0.0,0.0,0.0
T123,Michael Roenigk & Tammy Steele,1,100.0,0,0.0,0.0,0.0,0.0,0.0
